Age,Experience_Years,Last_Year_Rating,Training_Hours,Promotion
59,18,2,99,1
49,7,4,34,0
35,21,3,46,0
28,4,5,37,0
41,19,2,78,0
59,7,3,16,0
39,23,1,98,0
43,11,2,31,0
31,0,5,43,0
31,24,5,13,0
44,29,1,25,0
56,20,1,80,1
44,19,2,33,0
23,5,4,37,0
42,21,1,66,1
22,17,4,19,0
44,7,3,6,0
50,6,5,56,0
58,0,4,48,0
22,20,5,58,1
41,15,4,22,0
53,11,3,7,1
32,5,1,11,0
42,19,3,47,0
45,1,1,86,0
47,28,1,42,0
48,13,5,41,0
36,3,3,62,0
35,0,4,37,1
23,22,3,63,1
57,17,5,99,0
27,12,1,15,0
41,1,5,72,1
29,8,2,86,0
59,20,2,72,1
38,1,4,97,0
24,26,5,92,0
45,24,4,26,1
34,8,4,70,0
29,0,2,48,1
46,10,4,10,1
22,2,2,46,0
40,19,1,29,0
48,29,5,61,1
27,22,4,89,1
28,25,2,59,0
55,3,3,20,1
34,17,4,99,0
37,22,1,18,0
56,5,1,43,1
24,2,3,32,0
22,21,2,96,1
26,10,4,55,0
24,14,2,53,0
49,21,1,13,0
38,27,2,62,0
46,4,1,49,0
54,19,2,26,0
30,9,3,36,0
56,11,5,73,0
34,14,3,91,0
51,16,3,73,1
35,9,5,46,0
28,5,5,57,0
34,17,4,63,0
43,12,4,78,0
41,2,3,43,0
36,29,3,19,0
38,23,1,75,0
44,9,1,33,0
46,29,4,7,1
45,13,4,87,0
49,5,1,14,0
35,2,1,96,0
21,15,2,33,0
45,6,2,83,0
27,19,1,39,0
29,13,2,10,0
44,8,5,16,0
21,14,4,42,0
28,20,4,81,0
44,2,1,97,0
31,1,3,23,0
37,26,1,71,0
28,1,2,12,0
55,2,3,12,0
55,17,2,88,0
53,13,5,51,0
25,19,2,8,0
59,17,5,55,0
48,9,5,89,0
27,24,2,71,1
29,1,2,49,0
28,24,5,12,0
32,28,3,91,1
54,21,5,20,0
53,0,4,81,0
43,3,5,71,1
44,13,3,13,1
57,0,4,64,0
55,13,1,82,0
42,15,1,81,0
47,21,3,75,0
55,13,5,19,0
21,28,2,75,0
55,19,3,45,0
57,2,4,26,1
34,2,4,28,1
23,8,1,48,0
21,5,4,5,0
25,24,3,14,0
46,12,4,84,1
34,20,3,76,0
59,1,2,60,0
47,7,1,93,0
29,20,4,54,0
35,1,3,16,0
35,3,5,93,1
46,24,1,85,1
33,14,2,64,0
52,3,3,30,0
59,12,2,82,0
52,27,2,45,1
24,11,4,40,1
50,27,4,27,1
57,12,3,47,1
43,13,5,10,0
59,19,3,73,0
35,17,5,47,0
49,28,2,29,1
56,27,1,22,0
33,5,3,66,0
52,28,3,17,1
27,10,5,47,0
42,29,2,82,0
48,1,2,32,0
22,27,5,22,0
26,22,2,63,0
48,18,4,64,1
48,18,1,67,0
40,4,3,61,1
50,18,1,96,0
31,1,3,55,0
48,9,4,60,1
45,24,2,31,0
59,1,5,36,0
53,29,4,13,1
21,10,1,88,0
47,17,5,96,0
33,28,2,72,0
23,23,4,50,0
59,14,5,71,0
26,8,4,30,0
28,22,4,12,0
47,18,2,10,1
29,8,3,84,0
57,2,5,28,0
53,20,2,52,0
44,8,4,98,0
35,27,2,49,0
52,29,3,17,1
52,13,5,73,1
44,18,3,29,0
32,6,1,24,0
59,15,5,86,0
22,15,3,86,0
23,27,4,70,0
57,0,5,78,1
37,3,5,49,0
22,3,2,51,0
22,6,4,67,0
48,7,1,80,0
43,16,3,81,0
57,4,2,59,0
52,6,3,79,0
53,27,1,23,0
21,19,1,39,1
39,28,5,57,0
22,19,1,30,0
46,3,3,18,1
52,27,4,49,1
26,5,4,48,0
52,6,5,92,0
24,17,3,69,1
31,4,3,55,0
37,19,1,47,0
58,29,3,90,0
44,28,2,27,0
25,2,1,60,0
54,6,2,23,0
26,26,5,86,0
42,27,4,80,0
31,21,5,59,0
36,13,4,96,1
53,6,5,96,1
29,4,3,64,0
26,28,2,63,1
36,21,4,37,0
49,4,1,23,0
23,29,2,32,0
40,22,1,56,0
56,1,2,53,1
39,29,2,41,0
46,26,5,30,0
23,20,4,44,0
39,21,4,84,0
40,5,2,42,0
52,14,3,81,1
27,20,3,91,0
53,9,1,58,1
59,22,1,26,0
38,25,5,20,1
21,23,2,32,0
31,6,1,39,0
48,4,1,64,0
45,0,2,49,0
43,12,5,50,0
51,20,1,76,0
50,25,5,59,1
55,17,4,90,1
27,12,5,89,0
36,20,3,30,0
46,20,3,89,0
22,17,5,29,0
21,4,3,69,0
32,12,4,10,1
25,3,2,27,0
57,16,3,68,0
52,2,3,91,0
29,16,5,47,0
55,27,4,27,0
39,10,2,34,1
36,20,5,81,1
23,19,5,22,0
40,22,4,91,0
44,20,2,83,1
53,25,4,25,0
44,29,2,61,0
31,3,4,27,0
28,1,5,95,0
56,19,5,49,1
58,15,1,48,0
40,27,3,86,0
55,17,4,92,1
45,7,1,51,0
55,2,3,44,1
45,8,4,55,0
49,28,2,46,0
38,19,3,11,1
38,28,5,54,0
22,5,1,52,0
55,9,3,88,0
36,20,3,95,0
56,9,5,10,0
53,12,4,95,1
24,16,2,13,1
53,8,5,61,1
34,16,2,35,0
41,23,4,25,0
40,8,3,94,0
28,8,2,44,1
27,0,1,49,0
23,1,1,81,0
37,27,5,53,1
53,15,4,91,0
32,28,5,24,0
42,0,5,96,1
42,9,5,21,1
50,17,1,32,0
58,25,1,45,0
58,27,5,70,1
28,7,1,29,0
47,20,4,62,0
47,27,5,45,0
54,10,1,10,0
41,22,2,79,0
50,1,5,42,0
53,7,5,10,0
48,26,4,49,0
53,21,3,79,1
25,7,3,18,0
39,16,4,70,1
24,14,4,44,0
55,16,4,7,0
37,27,3,28,0
48,22,4,23,1
50,23,1,22,0
49,12,5,68,0
26,18,5,92,1
55,4,2,39,0
57,11,2,66,0
44,0,5,5,1
49,22,1,29,1
51,4,3,49,0
55,7,3,53,1
53,12,1,93,0
41,7,3,20,0
52,24,4,97,0
43,22,5,23,0
53,10,5,27,0
23,0,1,87,1
38,12,3,29,0
45,18,2,20,0
51,23,2,58,0
23,2,3,77,1
44,23,2,5,0
52,16,1,46,0
42,4,1,23,0
43,19,3,38,0
22,20,2,84,0
47,7,1,59,0
22,25,1,22,0
46,13,4,38,0
37,3,4,93,1
53,10,1,49,0
29,19,3,10,0
59,14,5,25,1
49,18,5,74,0
46,6,1,52,1
55,18,1,43,0
45,27,1,35,0
44,18,3,14,0
33,10,4,34,1
27,25,1,22,0
56,4,1,64,0
40,4,2,92,1
21,29,3,77,0
28,21,1,99,0
36,7,2,19,0
34,9,5,8,0
32,5,1,67,0
43,14,1,44,0
35,15,2,13,0
48,27,3,13,0
54,16,1,30,1
22,7,5,8,1
52,7,1,85,0
43,24,5,20,1
42,8,4,19,0
45,1,4,56,0
42,14,5,73,1
42,17,3,9,0
26,2,1,24,0
35,16,1,83,1
57,3,4,22,0
53,29,5,6,1
28,3,1,97,0
25,13,1,17,0
59,8,3,8,0
24,8,2,46,0
26,24,4,78,1
52,25,4,65,0
50,22,2,99,0
55,29,1,12,0
36,17,3,71,0
33,9,3,67,0
50,20,4,13,1
39,3,3,98,0
37,11,2,15,0
39,26,1,46,1
48,7,2,17,0
46,1,5,40,0
57,21,4,17,1
46,12,3,16,0
43,20,5,41,0
29,15,3,78,0
32,27,1,77,1
21,1,1,56,1
21,10,1,75,0
54,9,3,6,0
52,14,5,60,0
45,16,1,64,0
21,7,5,27,0
36,17,3,44,0
59,22,5,68,1
25,8,3,89,1
42,24,3,27,1
49,7,4,33,0
23,26,3,82,0
32,13,3,94,0
46,27,2,55,1
36,25,1,73,1
57,24,4,99,0
42,17,4,93,0
49,21,4,35,0
34,19,2,54,0
48,29,3,24,0
25,19,1,59,0
50,20,5,85,0
25,11,3,6,1
32,18,2,29,0
36,13,3,17,0
46,16,3,96,0
46,23,2,74,0
41,20,4,71,0
59,2,4,62,0
56,25,1,86,0
53,29,1,79,0
50,22,4,88,1
57,6,5,68,0
43,16,3,73,1
30,11,5,87,0
25,8,3,90,0
56,14,4,63,0
54,17,1,64,0
51,20,1,87,1
30,12,5,66,1
39,29,1,20,1
52,20,4,92,1
21,29,5,72,0
25,7,3,19,0
24,13,1,93,0
36,7,2,59,1
44,13,1,39,1
36,6,3,59,0
22,22,5,18,1
48,11,3,53,0
52,10,2,87,0
47,21,4,11,0
40,21,1,34,0
44,10,5,87,1
32,24,4,53,0
55,21,3,93,0
53,27,5,20,0
53,28,4,55,1
57,12,5,76,0
32,17,2,86,0
23,1,2,96,0
21,28,1,84,0
53,20,1,87,0
30,14,2,46,0
49,19,5,21,0
33,26,2,67,1
32,17,1,49,0
51,14,2,81,0
22,18,2,11,0
55,22,5,31,1
43,23,4,14,1
37,11,1,38,1
46,12,5,40,0
28,21,2,29,0
49,10,2,10,1
46,4,4,28,0
30,28,1,22,0
46,0,1,91,1
54,23,3,10,0
27,2,1,33,0
24,21,4,29,0
31,18,3,59,0
49,22,3,85,0
56,28,2,50,0
45,29,2,28,0
41,6,1,79,0
56,11,3,30,0
30,14,2,32,0
57,24,4,7,0
29,4,2,79,0
44,14,2,42,0
55,7,3,65,1
55,9,3,82,0
56,25,5,55,0
38,15,4,94,0
59,7,3,52,1
52,0,1,25,0
44,11,4,58,0
43,4,4,60,0
52,2,3,98,0
57,0,4,63,1
32,3,3,76,1
33,7,2,55,0
43,2,5,24,0
45,9,2,90,0
55,1,3,63,0
50,10,3,75,0
37,24,2,13,0
40,9,1,5,1
45,20,1,33,0
42,13,1,67,0
33,6,3,76,0
39,26,4,60,1
56,26,3,72,1
32,1,4,39,0
39,8,2,7,1
32,15,5,11,0
29,12,4,31,0
27,8,1,5,1
48,19,3,95,1
34,3,2,84,0
51,21,1,75,1
39,9,2,48,0
36,25,5,91,0
25,25,3,45,0
55,21,3,79,1
32,11,5,46,0
45,16,3,37,0
41,13,4,54,0
56,13,2,67,1
43,24,1,41,0
36,1,5,63,0
59,20,4,85,0
59,24,1,52,1
34,19,1,9,1
51,10,5,52,0
25,15,4,7,0
55,18,1,51,1
43,22,1,66,0
49,5,4,18,0
31,23,3,67,1
38,18,1,65,0
32,4,2,35,0
29,25,4,99,0
30,3,1,21,0
37,14,5,28,0
58,28,2,27,0
27,3,1,86,0
33,19,2,54,0
29,9,2,82,0
47,23,3,83,0
22,21,2,83,1
25,2,3,74,0
49,25,4,31,1
57,4,3,19,0
58,5,5,54,0
39,20,1,40,0
28,21,4,12,0
21,7,4,83,0
42,6,5,7,0
37,20,3,66,0
27,9,1,51,0
45,5,3,81,0
24,13,2,92,0
56,3,3,65,0
26,27,4,36,0
51,24,1,98,0
39,12,3,17,0
59,19,1,5,0
47,16,1,38,1
30,22,2,66,0
46,6,2,83,0
39,3,4,82,0
59,28,5,97,1
23,13,1,86,0
33,2,5,75,1
48,23,4,97,1
40,4,1,35,0
48,15,1,68,1
28,25,5,29,0
59,22,3,42,0
21,19,2,18,0
23,3,3,12,1
33,23,5,95,0
48,29,2,58,0
45,23,3,6,1
53,1,2,85,0
58,29,1,82,1
26,17,3,93,1
52,18,2,60,0
41,27,2,98,1
36,27,2,97,0
41,18,3,88,0
31,16,4,89,0
57,13,3,65,0
56,18,5,26,0
55,21,3,39,1
39,23,2,20,0
40,12,1,54,0
38,11,3,47,1
34,29,3,21,0
35,25,2,84,0
51,5,1,62,0
21,20,1,6,1
23,3,5,8,0
36,18,3,89,0
43,15,1,43,0
31,12,1,98,0
32,3,4,10,0
30,29,4,85,0
52,22,1,93,0
36,16,5,73,1
28,22,1,73,0
58,0,2,24,0
32,17,3,68,0
44,19,5,20,0
48,16,2,55,0
28,26,5,41,0
48,27,2,77,0
56,26,3,73,1
46,14,3,46,0
28,10,4,61,0
48,24,2,70,0
48,27,4,13,0
57,21,2,90,0
56,12,4,68,0
47,0,3,90,0
37,16,5,26,1
29,5,4,38,0
53,3,2,59,0
40,19,2,33,0
33,15,3,42,0
48,14,2,22,0
49,26,1,75,1
33,14,5,69,1
55,5,4,5,1
26,14,5,92,1
38,13,3,8,0
25,27,4,8,0
45,10,4,86,0
22,6,1,31,0
30,8,3,47,1
50,25,2,63,0
25,15,1,36,1
53,4,1,37,0
21,24,5,32,1
38,19,5,59,1
52,28,5,64,1
31,9,1,74,0
41,17,2,66,0
46,2,4,84,1
45,12,5,38,1
42,10,2,91,1
47,16,3,92,0
33,29,5,60,1
53,29,4,17,1
54,21,3,60,0
55,12,3,22,1
21,5,4,58,0
41,16,5,81,0
26,26,1,47,0
48,12,4,43,0
37,18,4,65,0
25,20,4,46,0
51,18,3,85,0
25,9,2,83,0
58,2,1,22,0
23,13,5,27,0
43,25,5,58,1
57,18,2,34,1
57,4,4,62,1
30,28,1,72,1
30,4,5,71,0
39,19,5,75,1
37,16,4,22,0
41,20,2,11,0
34,9,1,44,0
29,4,2,74,0
21,3,2,90,0
33,5,1,69,0
24,25,1,72,0
21,3,5,53,0
52,29,5,56,0
54,6,1,33,0
48,6,3,25,0
51,17,5,94,1
28,2,3,82,1
59,0,1,13,1
46,23,5,51,0
54,24,2,80,1
23,3,1,46,0
32,5,4,55,0
21,8,3,60,0
25,21,1,55,0
50,13,1,74,0
50,27,5,24,0
37,11,5,92,1
43,27,5,31,1
35,24,4,42,0
57,19,5,76,0
41,23,1,69,0
34,24,5,58,0
22,3,2,28,0
31,20,5,51,0
59,29,4,75,1
58,23,2,87,1
54,11,1,90,0
58,9,1,67,1
54,29,3,61,0
38,21,2,59,0
50,27,3,64,0
35,6,2,66,0
47,2,2,34,0
54,22,4,97,0
58,27,3,26,1
53,13,4,79,1
44,23,2,88,1
35,9,1,33,0
50,15,2,45,0
37,15,4,46,0
25,21,3,69,1
49,9,3,35,1
24,24,4,34,1
30,12,3,22,0
37,5,5,21,0
30,11,1,42,0
37,8,1,18,1
40,12,1,91,0
44,3,3,93,0
25,23,3,83,0
54,10,2,60,1
26,19,2,26,0
22,17,1,71,0
33,25,5,60,1
31,10,2,23,1
43,24,2,61,0
36,20,3,48,0
51,3,5,39,1
31,17,1,5,1
36,0,2,56,0
28,26,5,89,1
24,6,5,97,0
24,5,1,74,0
45,14,5,41,0
23,17,5,69,0
52,23,5,55,0
23,10,2,5,1
47,19,1,95,0
49,23,5,25,0
52,14,5,57,0
39,15,2,20,0
41,6,1,65,0
25,20,3,58,1
38,9,2,44,0
48,25,1,30,1
42,11,5,84,0
41,23,1,96,0
26,13,1,69,0
21,24,1,78,0
25,4,3,68,0
32,25,1,47,1
46,20,3,21,1
54,17,5,63,0
34,4,3,27,1
46,2,5,11,0
47,22,5,48,1
29,25,3,57,0
46,4,2,75,0
42,23,4,83,1
50,16,1,38,0
37,18,4,50,0
46,18,1,72,0
56,24,1,82,0
21,20,5,82,1
28,11,1,20,0
55,24,1,75,1
35,28,3,23,0
42,8,4,6,0
34,0,3,14,0
46,17,1,54,0
48,20,5,85,1
43,3,3,16,0
34,9,3,74,0
44,24,2,26,0
22,6,1,36,0
46,21,5,88,0
34,22,3,5,1
27,0,3,58,0
23,16,5,62,0
43,23,1,74,0
38,28,2,87,0
58,28,3,22,0
55,1,2,10,1
35,27,4,49,1
45,25,1,27,1
57,10,4,27,1
48,8,4,30,0
30,6,4,81,1
59,21,1,11,0
37,16,1,83,0
59,16,5,48,0
42,1,2,31,0
46,5,2,30,0
45,13,5,83,0
37,5,5,40,1
33,1,4,59,0
40,0,5,68,0
45,9,3,95,1
24,20,2,61,0
30,4,5,73,0
23,1,3,65,0
38,21,3,6,0
56,15,3,59,0
42,24,3,84,0
54,1,4,91,1
28,9,3,42,1
39,1,4,84,0
57,15,4,82,1
26,15,3,33,0
46,18,2,30,0
54,28,3,39,0
26,6,3,83,0
57,21,3,71,1
53,11,2,91,0
42,23,1,33,0
41,14,1,38,0
26,7,4,45,0
26,5,4,45,0
24,27,2,27,0
50,26,5,75,0
31,9,1,7,0
50,2,4,62,0
51,18,1,36,0
44,16,2,35,0
29,6,2,86,0
23,20,5,47,1
51,19,5,11,1
57,25,2,5,0
56,3,4,65,1
44,13,1,18,1
51,19,3,56,0
26,21,5,10,0
22,14,3,14,1
40,23,4,75,0
48,7,5,94,0
31,20,3,34,1
24,14,4,25,0
35,21,1,64,0
26,19,4,85,0
50,27,5,78,1
58,13,2,67,0
